host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"alexandria.xtec.cat","https://moodle.org/security/report/","","alexandria.xtec.cat/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"anglican.ca","","","anglican.ca/security.txt","","","","",""
"aol.ca","https://hackerone.com/yahoo","security@yahooinc.com","aol.ca/.well-known/security.txt","","https://www.yahooinc.com/careers/search.html?q=paranoids","https://hackerone.com/yahoo?view_policy=true","",""
"aulari.esmuc.cat","https://moodle.org/security/report/","","aulari.esmuc.cat/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"bahai-studies.ca","","webmaster@bahaistudies.ca","bahai-studies.ca/.well-known/security.txt","","","","https://bahaistudies.ca/.well-known/pgp-key.txt","en"
"becas.cabildofuer.es","","hello@pixinvent.com","becas.cabildofuer.es/.well-known/security.txt","","","","",""
"becas.cabildofuer.es","","hello@pixinvent.com","becas.cabildofuer.es/security.txt","","","","",""
"behindthenumbers.ca","","mike@belikewater.ca","behindthenumbers.ca/security.txt","","","https://monitormag.ca/security-policy","https://monitormag.ca/pgp-key.txt",""
"bmw.ca","https://hackerone.com/bmwgroup/ https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","cert@bmw.de","bmw.ca/.well-known/security.txt","https://hackerone.com/bmwgroup/thanks https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","","/security.txt HTTP/1.1  https://hackerone.com/bmwgroup?type=team&view_policy=true https://hackerone.com/bmwgroup?type=team&view_policy=trueGET https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/general/security/cert.txt","en,de"
"bmw.ca","https://hackerone.com/bmwgroup/ https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","cert@bmw.de","bmw.ca/security.txt","https://hackerone.com/bmwgroup/thanks https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","","/.well-known/security.txt HTTP/1.1  https://hackerone.com/bmwgroup?type=team&view_policy=true https://hackerone.com/bmwgroup?type=team&view_policy=trueGET https://www.bmwgroup.com/de/general/Security.html https://www.bmwgroup.com/en/general/Security.html","https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/general/security/cert.txt","en,de"
"callysto.ca","","security@cybera.ca","callysto.ca/.well-known/security.txt","","https://www.cybera.ca/career-opportunities/","https://www.cybera.ca/privacy-notice/","","en"
"catalunyapress.cat","","soporte@bigpress.net","catalunyapress.cat/.well-known/security.txt","","","","","en, es, gl"
"chen.cat","","security@bitly.com","chen.cat/security.txt","","","","https://bitly.com/security_pgp.txt",""
"concordia.ab.ca","","noc@concordia.ab.ca","concordia.ab.ca/.well-known/security.txt","https://confluence.concordia.ab.ca/display/ITHELP/Hall+of+Fame","","https://confluence.concordia.ab.ca/display/ITHELP/Vulnerability+Disclosure","https://confluence.concordia.ab.ca/display/ITHELP/NOC+PGP+KEY","(Canadian) English"
"concordia.ab.ca","","noc@concordia.ab.ca","concordia.ab.ca/security.txt","https://confluence.concordia.ab.ca/display/ITHELP/Hall+of+Fame","","https://confluence.concordia.ab.ca/display/ITHELP/Vulnerability+Disclosure","https://confluence.concordia.ab.ca/display/ITHELP/NOC+PGP+KEY","(Canadian) English"
"crea.ca","","gterrill@alphabetcreative.com","crea.ca/security.txt","","","https://www.crea.ca/security-policy","https://www.crea.ca/pgp-key.txt",""
"csarven.ca","","admin+security@inrupt.com","csarven.ca/.well-known/security.txt","","","","",""
"cvca.ca","","steve@simplicate.ca","cvca.ca/security.txt","","","https://www.cvca.ca/security-policy","https://www.cvca.ca/pgp-key.txt",""
"cybera.ca","","security@cybera.ca","cybera.ca/.well-known/security.txt","","https://www.cybera.ca/career-opportunities/","https://www.cybera.ca/privacy-notice/","","en"
"digital.canada.ca","","security+securite@cds-snc.ca","digital.canada.ca/.well-known/security.txt","","https://digital.canada.ca/careers/","https://digital.canada.ca/legal/security-notice","https://digital.canada.ca/.well-known/pub.asc","en,fr"
"expedia.ca","","RespDisc@expedia.com","expedia.ca/.well-known/security.txt","","/security.txt HTTP/1.1  https://lifeatexpedia.com/ https://lifeatexpedia.com/GET","https://www.expediagroup.com/about/privacy-data-handling-requirements/","",""
"expedia.ca","","RespDisc@expedia.com","expedia.ca/security.txt","","/.well-known/security.txt HTTP/1.1  https://lifeatexpedia.com/ https://lifeatexpedia.com/GET","https://www.expediagroup.com/about/privacy-data-handling-requirements/","",""
"gen.cat","","security@bitly.com","gen.cat/security.txt","","","","https://bitly.com/security_pgp.txt",""
"gettyimages.ca","","security@gettyimages.com","gettyimages.ca/.well-known/security.txt","","","","",""
"gettyimages.ca","","security@gettyimages.com","gettyimages.ca/security.txt","","","","",""
"google.ca","https://g.co/vulnz","security@google.com","google.ca/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"google.cat","https://g.co/vulnz","security@google.com","google.cat/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"gov.bc.ca","","OCIOSecurity@gov.bc.ca","gov.bc.ca/security.txt","","","","","en"
"habitat.ca","","devops@korcontrol.com","habitat.ca/security.txt","","","https://habitat.ca/en/security-policy","https://habitat.ca/en/pgp-key.txt",""
"help.captivate.fm","https://bugcrowd.com/intercom","security@intercom.com","help.captivate.fm/.well-known/security.txt","https://bugcrowd.com/intercom/hall-of-fame","https://boards.greenhouse.io/intercom/jobs/1888872","https://www.bugcrowd.com/resource/standard-disclosure-terms/","","en"
"help.tidyapp.ca","https://bugcrowd.com/intercom","security@intercom.com","help.tidyapp.ca/.well-known/security.txt","https://bugcrowd.com/intercom/hall-of-fame","https://boards.greenhouse.io/intercom/jobs/1888872","https://www.bugcrowd.com/resource/standard-disclosure-terms/","","en"
"histori.ca","","security@bitly.com","histori.ca/security.txt","","","","https://bitly.com/security_pgp.txt",""
"igloofest.ca","","security-txt@deuxhuithuit.com","igloofest.ca/.well-known/security.txt","","","","",""
"ionos.ca","","security@ionos.com","ionos.ca/.well-known/security.txt","","https://jobs.ionos.de/","https://www.ionos.com/it-security","https://keys.openpgp.org/search?q=security%40ionos.com","en"
"leafly.ca","","security@leafly.com","leafly.ca/security.txt","","","","",""
"mamh.gouv.qc.ca","","whitehat@mamh.gouv.qc.ca","mamh.gouv.qc.ca/.well-known/security.txt","","","","","fr"
"mamrot.gouv.qc.ca","","whitehat@mamh.gouv.qc.ca","mamrot.gouv.qc.ca/.well-known/security.txt","","","","","fr"
"mamrot.gouv.qc.ca","","whitehat@mamh.gouv.qc.ca","mamrot.gouv.qc.ca/security.txt","","","","","fr"
"mathieu.carbou.me","https://hackerone.com/automattic/reports/new","","mathieu.carbou.me/.well-known/security.txt","https://hackerone.com/automattic/thanks","https://www.tumblr.com/jobs","https://hackerone.com/automattic","",""
"mbam.qc.ca","","security-txt@deuxhuithuit.com","mbam.qc.ca/.well-known/security.txt","","","","",""
"monster.cat","","security@bitly.com","monster.cat/security.txt","","","","https://bitly.com/security_pgp.txt",""
"mycaa.caa.ac.zw","https://moodle.org/security/report/","","mycaa.caa.ac.zw/security.txt","https://moodle.org/security/","","https://docs.moodle.org/dev/Moodle_security_procedures","","en"
"ncc-ccn.gc.ca","","johnathon.wood@ncc-ccn.ca","ncc-ccn.gc.ca/security.txt","","","https://ncc-ccn.gc.ca/security-policy","https://ncc-ccn.gc.ca/pgp-key.txt",""
