host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"allegro.pl","https://allegro.pl/cert/ https://hackerone.com/allegro/reports/new","","allegro.pl/.well-known/security.txt","https://hackerone.com/allegro/hacktivity","https://allegro.tech/jobs/","https://hackerone.com/allegro?view_policy=true","",""
"auto-swiat.pl","","  security@ringieraxelspringer.pl","auto-swiat.pl/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"buslive.pl","","info@buslive.pl","buslive.pl/.well-known/security.txt","","","","",""
"ceneo.pl","","spc@ceneo.pl ﻿security@ceneo.pl","ceneo.pl/.well-known/security.txt","","kariera@ceneo.pl","","","en, pl"
"comarch.pl","https://www.comarch.com/responsible-disclosure/","vuln@comarch.com","comarch.pl/.well-known/security.txt","","","","https://www.comarch.com/.well-known/pgp-key.txt","en pl,"
"de.player.fm","","security@player.fm support@player.fm","de.player.fm/security.txt","","","","","en"
"ebookpoint.pl","","security@helion.pl","ebookpoint.pl/.well-known/security.txt","","","","/security.txt HTTP/1.1  https://helion.pl/security-helion-pubkey.txt https://helion.pl/security-helion-pubkey.txtGET",""
"es.player.fm","","security@player.fm support@player.fm","es.player.fm/.well-known/security.txt","","","","","en"
"forbes.pl","","  security@ringieraxelspringer.pl","forbes.pl/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"google.pl","https://g.co/vulnz","security@google.com","google.pl/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"helion.pl","","security@helion.pl","helion.pl/security.txt","","","","/.well-known/security.txt HTTP/1.1  https://helion.pl/security-helion-pubkey.txt https://helion.pl/security-helion-pubkey.txtGET",""
"komputerswiat.pl","","  security@ringieraxelspringer.pl","komputerswiat.pl/.well-known/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"mapa-turystyczna.pl","","/.well-known/security.txt HTTP/1.1  admin@mapa-turystyczna.pl admin@mapa-turystyczna.plGET","mapa-turystyczna.pl/security.txt","","","","",""
"mbank.pl","","cert@mbank.pl","mbank.pl/.well-known/security.txt","","","https://www.mbank.pl/pdf/inne/cert-mbank-rfc2350.pdf https://www.mbank.pl/pdf/inne/cert-mbank-rfc2350pl.pdf","https://www.mbank.pl/pomoc/info/certyfikat/cert-mbank.asc","en pl,"
"moja-ostroleka.pl","","","moja-ostroleka.pl/security.txt","","","","",""
"newsweek.pl","","  security@ringieraxelspringer.pl","newsweek.pl/.well-known/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"niebezpiecznik.pl","","security@niebezpiecznik.pl","niebezpiecznik.pl/security.txt","","","","https://niebezpiecznik.pl/niebezpiecznik.gpg",""
"nl.player.fm","","security@player.fm support@player.fm","nl.player.fm/.well-known/security.txt","","","","","en"
"noizz.pl","","  security@ringieraxelspringer.pl","noizz.pl/.well-known/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"onet.pl","","  security@ringieraxelspringer.pl","onet.pl/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"pepper.pl","","security@pepper.pl","pepper.pl/.well-known/security.txt","","","","","en"
"plejada.pl","","  security@ringieraxelspringer.pl","plejada.pl/.well-known/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"przegladsportowy.pl","","  security@ringieraxelspringer.pl","przegladsportowy.pl/.well-known/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"pt.player.fm","","security@player.fm support@player.fm","pt.player.fm/security.txt","","","","","en"
"rmfclassic.pl","","issue@rmf.fm","rmfclassic.pl/security.txt","","","https://www.rmf.fm/security-policy.txt","","en, pl"
"rmfon.pl","","issue@rmf.fm","rmfon.pl/security.txt","","","https://www.rmf.fm/security-policy.txt","","en, pl"
"uokik.gov.pl","","webmaster@uokik.gov.pl","uokik.gov.pl/.well-known/security.txt","","","","","pl,en"
"vinted.pl","","security@vinted.com","vinted.pl/.well-known/security.txt","","https://vinted.com/jobs/","","","en"
"wiadomosci.onet.pl","","  security@ringieraxelspringer.pl","wiadomosci.onet.pl/security.txt","","","","https://www.ringieraxelspringer.pl/pgp-key.txt","en, pl"
"znak.com.pl","","/security.txt HTTP/1.1  security@ecomgroup.pl security@ecomgroup.plGET","znak.com.pl/.well-known/security.txt","","","","",""
"znanylekarz.pl","","bugreporting@docplanner.com","znanylekarz.pl/.well-known/security.txt","","","","",""
