host,platform,email,url,acknowledgements,hiring,policy,encryption,languages
"1and1.mx","","security@ionos.com","1and1.mx/.well-known/security.txt","","https://jobs.ionos.de/","https://www.ionos.com/it-security","https://keys.openpgp.org/search?q=security%40ionos.com","en"
"blablacar.mx","https://yeswehack.com/programs/bug-bounty-program-blablacar","","blablacar.mx/.well-known/security.txt","","https://www.blablacar.com/dreamjobs","","",""
"daad.mx","","security@snoopmedia.com","daad.mx/security.txt","","https://www.snoopmedia.com/jobs/","","",""
"doctoralia.com.mx","","bugreporting@docplanner.com","doctoralia.com.mx/.well-known/security.txt","","","","",""
"edestinos.com.mx","","security@esky.com","edestinos.com.mx/.well-known/security.txt","","https://it.esky.pl/dolacz-do-nas/","","https://www.esky.com/.well-known/publickey.txt","en, pl"
"en.99designs.com.mx","","security@99designs.com","en.99designs.com.mx/.well-known/security.txt","","https://99designs.com/about/jobs","","","en"
"expedia.mx","","RespDisc@expedia.com","expedia.mx/.well-known/security.txt","","/security.txt HTTP/1.1  https://lifeatexpedia.com/ https://lifeatexpedia.com/GET","https://www.expediagroup.com/about/privacy-data-handling-requirements/","",""
"flashscore.com.mx","","security-txt-chmmfs@livesport.eu","flashscore.com.mx/security.txt","","","","","en"
"gettyimages.com.mx","","security@gettyimages.com","gettyimages.com.mx/security.txt","","","","",""
"google.com.mx","https://g.co/vulnz","security@google.com","google.com.mx/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"google.mx","https://g.co/vulnz","security@google.com","google.mx/.well-known/security.txt","","https://g.co/SecurityPrivacyEngJobs","https://g.co/vrp","https://services.google.com/corporate/publickey.txt",""
"hostinger.mx","https://hackerone.com/5093805e-4e52-474b-ba7f-5c04a7ba10e7/embedded_submissions/new<br>","security@hostinger.com<br>","hostinger.mx/.well-known/security.txt","","","https://www.hostinger.com/responsible-disclosure-policy","",""
"ionos.mx","","security@ionos.com","ionos.mx/.well-known/security.txt","","https://jobs.ionos.de/","https://www.ionos.com/it-security","https://keys.openpgp.org/search?q=security%40ionos.com","en"
"michaelpage.com.mx","","socREMOVETHIS@page.com","michaelpage.com.mx/.well-known/security.txt","","","","",""
"nu.com.mx","","security@nubank.com.br","nu.com.mx/.well-known/security.txt","","https://nubank.com.br/en/careers/","","https://cdn.nubank.com.br/pgp/key.txt","en"
"pagepersonnel.com.mx","","socREMOVETHIS@page.com","pagepersonnel.com.mx/.well-known/security.txt","","","","",""
"raileurope.com.mx","","cert@sncf.fr<br>","raileurope.com.mx/.well-known/security.txt","","","",": <a URL href=http://hkps.pool.sks-keyservers.net/pks/lookup?op=get&search=0x759E5CDAC4D5555E>http://hkps.pool.sks-keyservers.net/pks/lookup?op=get&search=0x759E5CDAC4D5555E</a><br>","en fr,"
"sams.com.mx","https://corporate.walmart.com/article/responsible-disclosure-policy","","sams.com.mx/.well-known/security.txt","","https://www.walmartmexico.com/unete-al-equipo","https://www.walmartmexico.com/aviso-de-privacidad","","en"
"shopify.com.mx","https://www.shopify.com/security-response","security@shopify.com","shopify.com.mx/.well-known/security.txt","https://hackerone.com/shopify/thanks","https://www.shopify.com/careers","https://hackerone.com/shopify","https://www.shopify.com/shopify-security.pub",""
"super.walmart.com.mx","https://corporate.walmart.com/article/responsible-disclosure-policy","","super.walmart.com.mx/.well-known/security.txt","","https://www.walmartmexico.com/unete-al-equipo","https://www.walmartmexico.com/aviso-de-privacidad","","en"
"trovit.com.mx","","bugbounty@lifullconnect.com","trovit.com.mx/.well-known/security.txt","","https://www.lifullconnect.com/careers/","","",""
"walmart.com.mx","https://corporate.walmart.com/article/responsible-disclosure-policy","","walmart.com.mx/.well-known/security.txt","","https://www.walmartmexico.com/unete-al-equipo","https://www.walmartmexico.com/aviso-de-privacidad","","en"
